bus,car,location,motorbike,timestamp_utc,total_vehicles,traffic_status,truck
0,6,CMT8_PhamVanHai,6,2025-07-05T08:45:09.609536,12,2,0
0,5,CMT8_PhamVanHai,2,2025-07-05T08:45:25.167309,8,2,1
0,4,CMT8_PhamVanHai,4,2025-07-05T08:45:40.770408,8,2,0
0,4,CMT8_PhamVanHai,3,2025-07-05T08:45:56.359000,8,2,1
0,4,CMT8_PhamVanHai,5,2025-07-05T08:46:12.002095,9,2,0
0,4,CMT8_PhamVanHai,6,2025-07-05T08:46:27.890910,10,2,0
0,3,CMT8_PhamVanHai,6,2025-07-05T08:46:43.440383,9,2,0
0,2,CMT8_PhamVanHai,12,2025-07-05T08:46:59.025303,15,2,1
0,2,CMT8_PhamVanHai,6,2025-07-05T08:47:14.674532,8,1,0
0,4,CMT8_PhamVanHai,6,2025-07-05T08:47:30.907553,11,2,1
0,3,CMT8_PhamVanHai,2,2025-07-05T08:47:46.446435,6,2,1
0,3,CMT8_PhamVanHai,15,2025-07-05T08:48:03.253930,19,3,1
0,2,CMT8_PhamVanHai,9,2025-07-05T08:48:18.844043,12,2,1
1,2,CMT8_PhamVanHai,4,2025-07-05T08:48:34.440382,8,2,1
0,2,CMT8_PhamVanHai,3,2025-07-05T08:48:50.034136,5,1,0
0,2,CMT8_PhamVanHai,5,2025-07-05T08:49:05.597149,7,1,0
0,4,CMT8_PhamVanHai,4,2025-07-05T08:49:24.604694,8,2,0
0,2,CMT8_PhamVanHai,1,2025-07-05T08:49:40.384027,4,1,1
0,3,CMT8_PhamVanHai,5,2025-07-05T08:49:56.046909,9,2,1
0,2,CMT8_PhamVanHai,4,2025-07-05T08:50:11.675782,6,1,0
0,4,CMT8_PhamVanHai,6,2025-07-05T08:50:27.257817,10,2,0
0,4,CMT8_PhamVanHai,3,2025-07-05T08:50:43.549432,8,2,1
0,4,CMT8_PhamVanHai,3,2025-07-05T08:50:59.191484,7,2,0
0,3,CMT8_PhamVanHai,3,2025-07-05T08:51:14.910969,6,1,0
0,1,CMT8_PhamVanHai,6,2025-07-05T08:51:30.549899,7,1,0
1,4,CMT8_PhamVanHai,2,2025-07-05T08:51:46.141444,7,2,0
0,5,CMT8_PhamVanHai,2,2025-07-05T08:52:02.814823,7,2,0
0,3,CMT8_PhamVanHai,7,2025-07-05T08:52:18.457686,10,2,0
0,2,CMT8_PhamVanHai,8,2025-07-05T08:52:34.049489,11,2,1
0,3,CMT8_PhamVanHai,10,2025-07-05T08:52:49.616298,13,2,0
0,2,CMT8_PhamVanHai,13,2025-07-05T08:53:05.311930,15,2,0
0,3,CMT8_PhamVanHai,11,2025-07-05T08:53:20.850883,14,2,0
0,6,CMT8_PhamVanHai,10,2025-07-05T08:53:36.419723,16,3,0
0,3,CMT8_PhamVanHai,8,2025-07-05T08:53:52.042671,11,2,0
0,3,CMT8_PhamVanHai,8,2025-07-05T08:54:07.588653,11,2,0
0,6,CMT8_PhamVanHai,5,2025-07-05T08:54:23.272383,11,2,0
0,3,CMT8_PhamVanHai,6,2025-07-05T08:54:38.835445,10,2,1
1,3,CMT8_PhamVanHai,2,2025-07-05T08:54:54.448047,7,2,1
0,1,CMT8_PhamVanHai,12,2025-07-05T08:55:10.029876,14,2,1
0,4,CMT8_PhamVanHai,12,2025-07-05T08:55:25.658448,16,2,0
0,3,CMT8_PhamVanHai,5,2025-07-05T08:55:45.418470,8,2,0
0,2,CMT8_PhamVanHai,9,2025-07-05T08:56:01.178249,11,2,0
0,1,CMT8_PhamVanHai,6,2025-07-05T08:56:17.413767,7,1,0
0,3,CMT8_PhamVanHai,1,2025-07-05T08:56:32.967199,4,1,0
0,4,CMT8_PhamVanHai,5,2025-07-05T08:56:48.562942,9,2,0
0,4,CMT8_PhamVanHai,15,2025-07-05T08:57:04.169350,19,3,0
0,2,CMT8_PhamVanHai,13,2025-07-05T08:57:20.309035,15,2,0
0,1,CMT8_PhamVanHai,3,2025-07-05T08:57:35.955806,4,1,0
0,4,CMT8_PhamVanHai,4,2025-07-05T08:57:51.576443,8,2,0
0,2,CMT8_PhamVanHai,5,2025-07-05T08:58:07.313907,7,1,0
0,2,CMT8_PhamVanHai,6,2025-07-05T08:58:22.954640,8,1,0
0,3,CMT8_PhamVanHai,9,2025-07-05T08:58:38.875699,12,2,0
0,6,CMT8_PhamVanHai,1,2025-07-05T08:58:54.479122,7,2,0
0,2,CMT8_PhamVanHai,13,2025-07-05T08:59:10.130291,15,2,0
0,3,CMT8_PhamVanHai,12,2025-07-05T08:59:26.482486,15,2,0
0,1,CMT8_PhamVanHai,13,2025-07-05T08:59:42.040028,14,2,0
0,3,CMT8_PhamVanHai,13,2025-07-05T08:59:58.488834,16,2,0
0,1,CMT8_PhamVanHai,7,2025-07-05T09:00:14.177521,8,1,0
0,1,CMT8_PhamVanHai,10,2025-07-05T09:00:31.941994,11,2,0
0,1,CMT8_PhamVanHai,13,2025-07-05T09:00:47.540331,14,2,0
0,1,CMT8_PhamVanHai,16,2025-07-05T09:01:03.098374,17,2,0
0,0,CMT8_PhamVanHai,4,2025-07-05T09:01:18.655187,4,1,0
1,0,CMT8_PhamVanHai,1,2025-07-05T09:01:37.895111,3,2,1
0,0,CMT8_PhamVanHai,11,2025-07-05T09:01:54.476214,11,1,0
0,3,CMT8_PhamVanHai,4,2025-07-05T09:02:10.109142,7,1,0
